text,emotion
"Устроилась в фирму, где директором работала моя мать. Решила не афишировать, что являюсь её дочерью, хотя постепенно все узнали. Директор она строгий и требовательный, что многим работникам не нравится. Работу свою выполняю хорошо, на уровне. И как же меня выводит, что люди, выше меня должностью, срываются на мне, если у них с моей мамой произошёл конфликт. Торкают, принижают, пытаются как-то задеть. ",ANGER
"Муж работает в крупной продуктовой компании. Достали родственники, которые постоянно удивляются тому, что он не тащит домой продукты. Да, блин, мы зарабатываем прилично и можем себе позволить купить все, что надо. Какой смысл из-за пакета молока лишиться достойной работы и испортить репутацию.",ANGER
"А эти селфи со слоновьими ушами, кошачьими усами и нереальными глазами! Эволюция потратила миллионы лет, чтобы превратить животное в человека, а в итоге самые продвинутые изобретения человечества используют, чтоб сделать из себя животное!",ANGER
"Нахожусь в поиске работы. И меня просто поражает и убивает упёртость либо непонимание вопроса многих работодателей, когда спрашиваешь их про непосредственно оклад. Будто они такого слова не знают. Начинают вновь по кругу втирать по общую зарплату, бонусы, премии и т. д. Да, знаю я из чего состоит з/п! Тем более, что только что мне рассказали. Только эти премии ещё не факт что получишь, мне нужно знать основу, которую я точно получу! А некоторые вообще умудряются спрашивать: """"А зачем вам знать оклад?"""" Да, блин, действительно! ",ANGER
"Мои друзья повадились убирать свои даты рождения со всех социальных сетей. И ждут, ждут, что их все поздравят! А потом обижаются. Вот не получается у меня запоминать даты, не получается! Что теперь только из-за этого из меня друг плохой...ои друзья повадились убирать свои даты рождения со всех социальных сетей. И ждут, ждут, что их все поздравят! А потом обижаются. Вот не получается у меня запоминать даты, не получается! Что теперь только из-за этого из меня друг плохой...",ANGER
"Я врач, пашу как конь на три ставки, 6/1, дежурю по три раза в неделю (работу очень люблю). Дом, ребёнок, старенькие родители. Отдыхать и спать — мое хобби! Нет у меня свободного времени! Есть увлечения, но времени минимум на них. Счастье — это на диван, кота под бок и хоть раз в год выспаться! А то комментарии отпускают: """"Было бы желание!"""" Оно есть, но в сутках всего 24 часа, к сожалению. "" ",ANGER
"Люди говорят, что я красивая, верная и нежная. Так меня видят. Но я всегда одна, у меня нет друзей, нет любимого, с семьёй практически не общаюсь. У меня не было вечеринок, посиделок с друзьями, совместных проектов, просмотров фильмов. И я не знаю почему. Я общаюсь с людьми, они мне интересны, читаю постоянно, самообразовываюсь. Но ни в одной сфере жизни ничего не складывается. У меня постоянная депрессия. Больше всего ужасает эта несправедливость: почему одним все, а другим ничего. Это, наверное, что-то про профессиональных неудачников.",DISTRESS
"Живу на Кипре. Работаю на приличной должности. Но я здесь одна. Иногда хожу на свидания и ещё больше разочаровываюсь в людях. Каждый день выпиваю бутылку пива, а то и две. Иногда напиваюсь до ужасного состояния. Хочется вернуться в Россию под мамино крылышко, но понимаю, что здесь хорошая работа, и многие мечтают быть на моем месте. А я не могу. А мне всего 21.",DISTRESS
"Мама в детстве била за любую провинность и даже тогда, когда у неё просто не было настроения. Разбивала бутылки об голову, лупасила всем, что попадется под руку. У меня за плечами две попытки самоубийства. Я никому не рассказывала про моё детство. Я ужасно боюсь чужого мнения. Я стараюсь казаться весёлой, чтобы быть хоть немного любимой.",DISTRESS
"Отец был буйным алкашом (пока не умер),а моё детство — ужасным. Были маленькие брат и сестра, мама, старые бабушка с дедом. В 13 лет я уже тащил на себе кучу дел, решал чужие и свои проблемы, ребёнком не считали. Сейчас уже далеко за 20, вроде всё хорошо. Все считают меня сильным, замкнутым и жестоким. А я ночью чуть ли не рыдаю от ревности, вспоминая, как мой лучший друг общался со своим сыном. Мне все эти годы так не хватает """"взрослого"""" мужика, с которым просто можно всем поделиться, и он поймёт. Друзьям ничего не рассказываю, ведь у них своя жизнь, а у меня — своя. Кому нужны детсадовские проблемы взрослого амбала? Девушки бывают, могу создать семью, привык быть взрослым и ответственным, но не хочу. Хочу детство и батю, но это невозможно. Думаю, я не смогу быть счастливым. ",DISTRESS
"Купил запасную зубную щетку на случай если появится девушка, и останется с ночёвкой, но реальность такова что девушка так и не появилась, щетке 2 года, она вся в пыли.",DISTRESS
"Мать похоронил, когда мне было 19, через год - отца. Родственников в этой стране у меня больше нет. С друзьями детства пути-дорожки разошлись (рос я не в самом благополучном районе, и сейчас мои друзья или сидят, или спились, или сторчались). Единственная девушка, которую любил, уехала в другую страну и там счастлива замужем. Все, что у меня есть - моя работа: от отца осталось небольшое производство, на которое я и трачу все силы и время. Этот цикл работа-дом длится уже 5 лет, субботние походы в магазин - словно большое приключение, от отпусков я уже 3 года как отказался. При этом мне удается держаться так, что многие индивиды даже завидуют моей """"свободе и независимости"""". Не ведитесь на эту фигню. В жизни нет ничего важнее социальной части, близких, друзей и любимых. И если ты остаешься один, любые деньги и развлечения постепенно теряют смысл, ибо всегда должен быть кто-то, с кем можно это разделить.",DISTRESS
"Учусь в другом городе. И одна из причин, почему я редко бываю дома, — мои родители — свиньи. Бабушка может по две недели не мыться, под ногтями грязь, она облизывает ложки и кладёт в ящик; на кухне вечно висят грязные жирные тряпки, чашки никто не моет, на них слой налета от чая. Кошачий лоток никто не чистит. Отец ест руками, плямкая и скрипя зубами. Зубы, кстати, они тоже не чистят. Я живу в общаге, и здесь с тараканами чище.",DISGUST
"Работала когда-то массажисткой, и самый запоминающийся случай произошел с довольно симпатичным мужчиной, пришедшим на массаж головы. В течение часа под мои ногти забирались большого и маленького размера вши, из-за чего я несколько раз ходила мыть руки. Так противно мне не было никогда, а указать на это мне было безумно стыдно. После молодой человек попросил мой номер, но, вспомнив его голову, я отказалась.",DISGUST
"Люблю несколько дней не чистить зубы, чтобы потом счищать мягкий налёт и есть. А самый кайф — это найти зубной камень, отковырять его металлической пилкой и сгрызть. Хрустит очень прикольно :) ",DISGUST
"Стою с котом на кухне, делаю себе и дочкам яичницу, все пожарил красивенько, достал яйца. Бью вилкой первое — не бьется; думаю, что такое, полез за ножом, пока тянулся, оно у меня в руке лопается. А там все черное, со сгустками, с какими-то кусками гнили, все стекает по руке, на плите, в сковородке, даже кота зацепило. Вонь дикая! Это еще начинает жариться, кот блюет, прибегают дочки. Хаос. Истерия. И, кажется, я навсегда попрощался с яичницей... ",DISGUST
"Шесть лет назад я спокойно сидела и играла в комнате, как вдруг по полу ползёт муравей. Живём мы на 9 этаже. Я не придала этому значение. Пришло время спать, я залезаю в шкаф, ищу труселя, достаю их из недр шкафа, а они в муравьях (трусы чистые). Я испугалась, позвала родителей, мы начали вытаскивать всё белье из шкафа, а там целый рой муравьев. До сих пор не знаю, как они там оказались, и почему мы вовремя не заметили.",DISGUST
"Как-то раз мы с семьей поехали в Испанию к друзьям. У подруги моей мамы на столе лежали персики, на первый взгляд, совершенно обычные. Так как на тот момент это был мой любимый фрукт, я схватила один и откусила. Когда дошла до косточки, увидела кучу каких-то насекомых, похожих на тараканов, которые бегали внутри, везде. Не описать словами ужас, который я испытала в тот момент. Персики больше не ем",DISGUST
"Дело было в июне 17-го, вечером захотелось сладкого к чаю, и я отправился в поход за охотой на сладкое. Переходя через дорогу на пешеходке, я резко провалился в бездну. Очнулся уже через три дня со сломанными ногами, ОЧМТ и переломом двух позвонков. Поначалу даже жить не хотелось, но спустя 9 месяцев я понял, какое же это чудо — заново ходить. Отныне я каждый день радуюсь своим новым достижениям. Спасибо тебе, """"чудо"""" водитель) ",ENJOYMENT
"Мы так сошлись: ни я, ни мой муж не можем иметь детей. В канун 30 от всей души загадала желание — получить ребёнка с нашими генами (сама родить не могу, но может какой-то инновационный способ). Спустя два месяца моя сестра с мужем и двумя детьми попадает в аварию, он умер на месте, она в коме, дети невредимы, и теперь мы их опекуны. Спустя ещё полгода у брата мужа при родах умирает жена, у него начинаются психические проблемы, и младенца воспитываем мы. Такое горе, но я, блин, счастлива",ENJOYMENT
"Я парень, и я обожаю готовить. Это моё хобби в свободное время. Могу приготовить практически всё — лазанью, множество видов паст, любые отбивные, котлеты и манты, плов, буженину, кексы, овощное соте, пиццу и многое другое. Готовлю из свежайших продуктов, парное мясо и отборные овощи. Кормить тоже люблю и искренне радуюсь, когда человек ест с блаженным выражением морды лица. Боль была в том, что мои бывшие девушки перманентно сидели на диетах и отказывались то от сочного стейка, то от вкуснейшего гарнира из зеленой чечевицы и томатов, потому что это жир и углеводы, а значит, могло нанести непоправимый урон их фигуре. Какое же счастье, что моя нынешняя девушка обладает не только стройной фигурой, отменным аппетитом, но и ведьминским даром не поправляться. Ест всё, ещё и добавку попросит. Это мой личный рай :) ",ENJOYMENT
"В 40 лет я стал отцом. Хоть и неожиданно, но в третий раз. Боялся, что буду как дед рядом с сыном, и , когда мне будет 50, не смогу играть с ним и быть """"на одной волне"""". Да и друзья, знакомые удивлённо смотрели на нас с женой, мол, как же так. Во мне как будто открылось второе дыхание, пришла вторая молодость, я снова изучаю и помогаю изучать этот мир маленькому существу! Никогда б не подумал, что позднее отцовство может так омолодить меня!",ENJOYMENT
"У меня самая офигенная семья! Мы с женой счастливые родители тринадцатилетних двойняшек и двенадцатилетних близнецов. Когда дети были совсем маленькие, было очень сложно, поэтому мы с женой уже тогда здорово управлялись с распределением времени, чтобы успевать всё и, по возможности, даже больше. Когда дети пошли в 3-4 классы, и их стали приучать. Вышло так, что часам к 7 вечера уже освобождались все: и дети уже сделали уроки и сходили на все свои кружки, и мы с женой уже разобрались с работой. Поначалу использовали это время в воспитательных целях: учили детей стирать, гладить, готовить и всему прочему необходимому. А потом разошлись... Теперь каждый вечер у нас что-то новое: читаем всей семьёй книги и обсуждаем их, смотрим фильмы, сериалы, играем в настольные игры. Дети сами организуют какие-то семейные концерты: и танцуем, и поём, и головоломки решаем. Придумываем шутки, сценки, рисуем, собираем пазлы. Дочь даже всю семью учила плести фенечки",ENJOYMENT
"С детства имею дефект в виде глухоты на полтора уха, все время жила с зависимостью от слухового аппарата. Когда нет батареек под рукой, начинается истерика. Сейчас не работаю целый месяц, и какой же это кайф — ходить без слухового. Меньше разговоров, звонков и нервотрепок. Ощущаю, что есть и плюсы!",ENJOYMENT
"Переезжала в соседний город, закупаться дешевле оказалось в родном городе. Пошла в магазин бытовой техники: микроволновка, мультиварка, чайник, роутер... Порадовалась, что вышло дешево. Уже за 300 км от места отправления осознала: так дешево вышло потому, что мне забыли пробить микроволновку. Не хотела, чтобы из-за этого кого-то оштрафовали, написала в этот магазин. А мне ответили, что никакую микроволновку они не теряли, ещё и издевательски намекнули на мое осеннее обострение. До сих пор не понимаю, что это было. А микроволновка уже пять лет стоит, работает.",EXCITEMENT
"Восемь лет назад у моего однокурсника умер отец, оставив четыре миллиона карточного долга. Сыну пришлось продать дом, машину и все драгоценности, и при этом висел ещё миллион. Он попросил меня занять ему 25 тысяч, я тогда был при деньгах и не мог отказать товарищу, оказавшемуся бомжом с миллионом долга. А на днях он звонит мне, после того как шесть лет от его ни слуху ни духу. Я подумал, ещё занять надо. А он отдал свой старый долг! Выкарабкался чудом из того страшного отцовского долга, строит дом.",EXCITEMENT
"Люблю одного малоизвестного американского писателя, который, в свою очередь, очень любит Россию. Часто переносит действия сюда и использует русских как значимых героев. Недавно он выложил пост о том, что наконец прилетел в Россию, а я просто ради прикола написала, что Россия — не только Москва и Питер, и предложила приехать в свой город, сказала, что проведу экскурсию. Но он-таки приехал, так я провела два дня со своим кумиром, очень милый человек. Ему понравилось, особенно горы.",EXCITEMENT
"Очень восхищалась левшами. Всю жизнь горевала, что правша, и мечтала научиться писать левой рукой. Год назад купила себе тонну самых разных детских прописей и начала каждый день по 40 минут, несмотря ни на что, тренироваться писать левой рукой. Итог: каллиграфический почерк и правой, и левой. И сейчас люди восхищаются мной. Теперь я — амбидекстр))) ",EXCITEMENT
"Я заядлый курильщик. Моя девушка заставляла меня чистить зубы после каждой выкуренной сигареты. Всегда это бесило. В итоге бросил курить и расстался с девушкой, но вот привычка чистить зубы несколько раз в день осталась. Как результат: сейчас я обладатель идеальных зубов — белых и без кариеса))",EXCITEMENT
"В старые добрые времена, когда ещё не развалился Советский Союз, и прилавки магазинов пустовали, выезжали мы с супругой на жигулёнке на шоппинг в соседнюю область. Брали бинокль с собой и смотрели из машины, что за магаз, открыт ли он, большая ли очередь, и что на прилавках. Экономили время и за день находили много «дефицитов». Не зря же я служил в разведке. ",EXCITEMENT
"Была как-то на море с мужем, пошли купаться, постепенно начинался шторм, волны стали увеличиваться, а нам прикольно в таких волнах ввысь взлетать! И в какой-то момент я понимаю, что с волной меня выбрасывает вперёд, но потом засасывает ещё дальше назад, и так раз за разом! Я начала паниковать и кричать, что меня уносит. Муж у меня большой и сильный, схватил меня за руку и сквозь волны еле выволок. Даже в воде по щиколотку сопротивление было безумное. ",FEAR
"90-е, мне четыре года. Отец из-за долгов скрывается со мной и мамой в одной из съемных квартир в Москве. Стук в дверь. Врывается свора бандитов, отца кладут лицом в пол. Меня с мамой держат в заложниках в другой комнате. Отца допрашивают, избивают. Спустя три дня девушка, проходившая мимо нашего балкона, заметила, как там висел листок о помощи, приклеенный моей жвачкой. Если бы не эта девушка и не моя жвачка, то нас бы не было в живых.",FEAR
"У меня был друг. Встречался с девушкой лет с 20. Вместе прошли всё: и его отчисление, и её депрессию, хоронили близких. Жениться они в принципе планировали всегда, не было такой проблемы, что друг морозился. Но собрался делать предложение в 29, к этому моменту они добились много из того, что хотели, плюс появились деньги. И вот они на берегу моря, друг делает предложение, невеста от волнения упала в обморок, ударилась о камень виском и умерла. Друг вскоре ушёл вслед за ней",FEAR
"У нас была хорошая семья. Сестра профессионально занималась гимнастикой, закончила хороший ВУЗ и получила работу в крупной компании. Но внезапно ее настигла любовь. Любовь к безработному ПТУшнику, на 7 лет ее старше, который к тому же подсел на курительные смеси. Сестра вышла за него замуж, хотя на тот момент уже четыре года встречалась с другим. Позже выяснилось, что новоявленный муж ещё и распространяет эти """"смеси"""", сестра начала помогать ему. Их задержали, дали 13 лет. Не верится до сих пор.",FEAR
"Я очень боюсь быть зависимой от кого-то. Когда представляю, что придётся попросить помощи — начинается паника. У меня замечательный муж, но мне стыдно брать у него деньги. Он обижается и не понимает моего поведения. Мы оба работаем, бюджет у нас общий, но я как параноик рассчитываю только на себя. И всё потому, что прошлые отношения внушили, что быть зависимой от мужчины — позор. Хочешь что-то — купи себе сама, да ещё и домой денег принеси. Отпечаток на всю жизнь",FEAR
"Мне было 13, когда отец неожиданно умер от сердечного приступа. Мать работала на заводе, платили мало, старший брат бросил школу перед самым выпуском и пошел работать, чтобы нас прокормить. За год до этого у него были проблемы с наркотиками, попал в плохую компанию, но отец вытащил его, и тот взялся за ум. Зарплату на завода постоянно задерживали, брат работал как проклятый ради нас, редко бывал дома, иногда пропадал на неделю, но возвращался с едой и деньгами. К тому времени мы продали уже всё, что только было можно, оставив на память единственную довольно ценную вещь — давно привезенный отцом из-за границы серебряный армейский нож. Мать очень любила отца и ужасно скучала. И вот однажды она заметила, что ножа нет на месте. Перерыли весь дом, знакомые в гости не приходили, мы с братом клянемся, что не брали. Но мать была уверена, что брат опять подсел и продал его за дозу. Выгнала его из дома, сказала пока не вернет, домой пусть не приходит. После этого он пару месяцев встречал меня у школы и давал денег и продуктов, говорил, живет у друзей, много работает и все хорошо. Потом он пропал. Скоро узнали, что он опять колется. Из-за того, что жить было негде, пошел к старым знакомым, и там снова подсел, а через пару недель скончался от передоза. Матери было очень плохо, но она никогда не винила себя, говорила, что он сам выбрал такую судьбу, что раз он украл тот нож и продал, значит, уже кололся, и если бы он остался дома, мог бы навредить нам. С того момента прошло 9 лет, недавно у нас впервые появились лишние деньги, и мы смогли позволить себе небольшой ремонт на кухне. Отодвинули старый шкаф, а за ним, помимо пыли и прочего мелкого мусора, неприглядно валяется этот чертов нож. За всю свою жизнь ни разу не видел, чтобы кто-то также сильно и отчаянно рыдал, как мама в тот день. ",FEAR
"Как-то летом ехал на машине, и было очень жарко. Дорогу я знал хорошо, и если свернуть немного в сторону, то там было небольшое озеро, с одной стороны лес, а с другой — поле. Решил искупаться, и так как вокруг не было ни души, полез в воду голяком, чтобы трусы не мочить. Минут через 10 приехал грузовик и привёз в кузове женщин, которые работают в поле. Когда уже мокнуть надоело, пришлось выходить из воды, преодолевая стыд, под их аплодисменты. ",SHAME
"Начало 90-х. Я подросток, решила заняться бизнесом. Нас, трех сестер, мама воспитывает одна, с утра до ночи работает. Я воровала у мамы из кошелька небольшие суммы и покупала жвачки со вкладышами с целью их перепродать. Не знаю, сколько это длилось по времени, я тащила деньги, но свою торговлю так и не начала. В один прекрасный день мама обнаружила большую пропажу. Состоялся разговор. Мне 36. При каждом удобном случае я отправляю маме деньги",SHAME
"Попросила свекровь к ней зайти. Пошла ненакрашенная, куртка, шапка, максимальный вес. И она попросила ей водки купить, причём одну из самых дешевых. В магазине без паспорта отказывают, объяснила ситуацию, предложили подойти к другой покупательнице, если у неё есть паспорт, дать денег, чтобы она эту бутылку приобрела, а около выхода мне передала. Как назло пусто в магазине, и только одна покупательница — красивая девушка в пальто, длинные блестящие волосы, губы, брови, и я со своим: """"Купите мне водочки""""",SHAME
"В деревне на окраине стоял странный дом, в котором жил мужчина с женой, у них всегда были закрыты занавески, мы, злые дети, напридумывали, что мужик (почему-то) маньяк. Доводили его ужасно, камни в окна и двери бросали, кричали: """"Дядя Коля — хрен зелёный"""", — а он, когда не выдерживал, выбегал из дома с палкой и бегал за нами, чего мы, собственно, и дожидались. Так вот у него жена лежачая была, больная, а мы свиньи",SHAME
"Когда работала мерчендайзером в гипермаркетах, воровала всякую мелочь: жвачки, булочки, заколки, иногда — книжки, а также в прилегающих магазинчиках — бижутерию. Был такой адреналин, поймают или нет. Потом это прошло, сейчас не могу даже представить себе кражу, где же были мои мозги... и ведь ни разу не поймали",SHAME
"Каждое лето ездим отдыхать в Турцию в довольно хорошие отели типа """"Риксоса"""". Каждый раз они берут с собой кучу контейнеров и на каждом завтраке, обеде и ужине в отеле они заполняют их всякой едой, чтобы потом отвезти это домой. Они даже шоколад для блинов на завтраке в бутылки сливают. Я единственная не понимаю, нафиг нам эта конченая курага, на которую максимум 500 рублей потратишь. Каждый раз ору их, но им пофиг",SHAME
"Проходясь по улицам родного города, обратила внимание на то, что многие места, вызывающие ностальгию, оказываются закрыты, и только МакДаки так и продолжают десятилетиями находиться на прежних местах, храня смутные воспоминания.",STARTLE
"Сижу недавно в гостях, так получилось, что все дети собрались в одной комнате, а я за ними присматриваю. Мелкие то ругались, то мирились, рисовали что-то, и тут один из них лет пяти заявляет громко: """"Ну, я ничего не понимаю!"""" И с этими словами падает демонстративно лицом в пол. Посмотрев на это, одна из присутствующих девочек уже лет 14 спокойно заявила: """"Да это моя позиция по жизни""""",STARTLE
"Живёт у меня в доме экстремально маленький мужчина, а я девушка высокая, и каждый раз в лифте он украдкой рассматривает меня как диковинку, а я его. И вот мы встретились с ним в паркинге — я села в свой смарт, а он в свой внедорожник) ",STARTLE
"Летели недавно на самолете. Перед взлетом, как обычно, по громкой связи со всеми пассажирами здоровается капитан корабля. И после слов: """"... наша главная цель — это ваша безопасность и комфорт"""", — полностью отключается свет и двигатели. Минута тишины и суеты, все включается, капитан говорит: """"У нас проблемы со включением, не обращайте внимания. Так вот, наша главная цель — это ваша безопасность и комфорт..."""" Летели как в последний раз.",STARTLE
"""Были с подругой на свадьбе знакомой. Невеста бросает букет, и он прилетает совершенно не ожидавшей этого кореянке, стоявшей рядом с нами. На ее лице мгновенно отображается Error 404, и она вопросительно смотрит на нас. Подруга объясняет ей, что раз она поймала букет, то скоро выйдет замуж. И тут происходит нечто. Кореянка вдруг вскрикивает, бросает букет и начинает с истошными воплями его топтать. Вот это я понимаю husbandfree.",STARTLE
"Несколько лет назад работала горничной у состоятельных людей. Муж и жена. Жена была молодой девушкой, в отличии от мужа, он был почти пожилой. Мысля стереотипно, считала, что девушка глуповатая и недалекая, повелась на деньги. Однажды во время уборки зацепила пылесосом дверной косяк, поцарапала дверь. Понимала, что такая дверь три моих зарплаты стоит, жутко расстроилась. Рассказала хозяйке. Она прикрыла меня перед мужем. Взяла и сказала, что она, пнув сапогом дверь, сбила краску. Я благодарна.",STARTLE
